st_id,st_name,lng,lat
C1H860,瑞岩,121.18345,24.123772
C1H870,仁愛,121.130736,24.018611
C1H000,翠峰,121.205211,24.109397
C1I020,萬大,121.132261,23.979817
C0H990,昆陽,121.273642,24.121322
C0I010,廬山,121.181808,24.033311
C1F9W0,德基,121.190261,24.254783
C0T790,大禹嶺,121.316086,24.186117
C0H9A0,神木村,120.843667,23.532742
C1K250,崙背,120.318925,23.75555
C1K270,褒忠,120.308114,23.704936
C1K340,土庫,120.389883,23.688008
C1M460,溪口,120.404292,23.604006
C1K260,後安寮,120.233236,23.789211
C1M450,中坑,120.525597,23.561186
C1K320,阿丹,120.511894,23.657989
C1M490,內埔,120.564236,23.485408
C1K310,斗六,120.516308,23.705547
C1M570,大湖,120.620522,23.474778
C0M530,奮起湖,120.699253,23.493903
C0K330,虎尾,120.442036,23.719183
C1M510,朴子,120.257733,23.469764
C1K350,北港,120.295261,23.56895
C1M470,鰲鼓,120.148878,23.505225
C1M500,魚寮,120.362269,23.478275
C1M550,中埔,120.523753,23.421119
C1M560,南靖,120.384106,23.412433
C0K280,四湖,120.227125,23.630414
C0K290,宜梧,120.169172,23.536183
C1X010,岸內,120.260506,23.329819
C1X070,北門,120.124908,23.268189
C1X060,下營,120.256242,23.226933
C1X090,七股,120.14605,23.141803
C1M520,東後寮,120.248411,23.369708
C1X030,白河,120.429022,23.325181
C1X050,東河,120.385317,23.29685
C0X080,佳里,120.145086,23.173039
C0O910,新營,120.321508,23.292275
C1V190,南天池,120.911764,23.274033
C1V170,排雲,120.954147,23.463619
C1M440,新高口,120.878939,23.478744
C1V160,民生(達卡努瓦),120.705319,23.279811
C1V460,楠溪,120.892611,23.436444
C1M540,小公田,120.581031,23.361778
C1X040,東原,120.463822,23.291597
C1M480,樟腦寮,120.607797,23.537022
C0K300,大埔,120.605289,23.641325
C0X020,關子嶺,120.511558,23.327006
C1K380,山豬湖,120.601211,23.586711
C1M600,頭凍,120.603339,23.406364
C1M610,石磐龍,120.663506,23.496606
C1M620,瑞里,120.675197,23.545133
C0O970,虎頭埤,120.347878,23.021375
C0O990,媽廟,120.293525,22.99175
C0O960,崎頂,120.369317,22.959547
C1N000,沙崙,120.309406,22.935472
C0O950,安南,120.144861,23.076694
C0O980,新市,120.298197,23.061614
C1O870,大棟山,120.523147,23.309111
C1M400,菜瓜坪,120.576103,23.251928
C1O880,關山,120.594092,23.173397
C1O920,楠西,120.484083,23.183511
C1M390,龍美,120.654417,23.406728
C0O830,北寮,120.495008,23.079561
C0M410,馬頭山,120.582017,23.324361
C0V150,表湖,120.664664,23.260206
C0O900,善化,120.297219,23.112883
C0O810,曾文,120.497328,23.219681
C0O930,玉井,120.46055,23.126042
C0V260,月眉,120.539547,22.971217
C1V230,高中,120.716711,23.134911
C0V210,復興,120.806089,23.222403
C1V220,小關山,120.813603,23.154217
C1V200,梅山,120.823556,23.268447
C0V250,甲仙,120.591758,23.080106
C0O840,王爺宮,120.399511,23.221333
C1O850,環湖,120.418633,23.148617
C0O860,大內,120.361547,23.120142
C0V530,阿蓮,120.327508,22.883208
C0X100,臺南市北區,120.194228,23.010394
C0X110,臺南市南區,120.188378,22.961189
C0X190,安平,120.152181,22.993161
C0X120,麻豆,120.248611,23.183289
C0X150,安定,120.227839,23.102614
C0X180,山上,120.363253,23.0757
C0X170,關廟,120.327797,22.963017
C0X130,官田,120.315422,23.193217
C0X140,西港,120.203108,23.125608
C0X160,仁德,120.257689,22.968258
C1V580,溪南(特生中心),120.788475,23.084972
C1V600,藤枝,120.757042,23.071961
C1V590,新發,120.646064,23.057019
C0X200,左鎮,120.404192,23.055114
C0R530,林邊,120.509983,22.430836
C1R610,西大武山,120.7322,22.617719
C0R600,舊泰武,120.664944,22.588194
C0V790,萬山,120.688056,22.905944
C1V780,多納林道,120.737917,22.888028
C0V800,六龜,120.633583,22.997889
C0R590,里港,120.496642,22.800208
C0R130,阿禮,120.743678,22.742908
C1R120,上德文,120.704442,22.763272
C0R140,瑪家,120.686639,22.682903
C0V350,溪埔,120.446797,22.738578
C1R110,口社,120.645222,22.770111
C0V310,美濃,120.519153,22.898742
C0R100,尾寮山,120.683889,22.833111
C0V400,阿公店,120.355528,22.804194
C0V430,左營,120.293739,22.677914
C0V360,內門,120.466769,22.975481
C1V390,尖山,120.367789,22.813153
C1V300,御油山,120.715364,23.001983
C1V340,大津,120.645986,22.888322
C0R260,春日,120.628306,22.370361
C0R240,來義,120.625111,22.527306
C1R250,力里,120.629228,22.428117
