"","Hour","variable","value"
"241",1,"2016-10-11","23.0"
"242",2,"2016-10-11","22.8"
"243",3,"2016-10-11","22.7"
"244",4,"2016-10-11","22.7"
"245",5,"2016-10-11","22.8"
"246",6,"2016-10-11","22.8"
"247",7,"2016-10-11","23.0"
"248",8,"2016-10-11","23.7"
"249",9,"2016-10-11","26.4"
"250",10,"2016-10-11","27.9"
"251",11,"2016-10-11","29.8"
"252",12,"2016-10-11","30.9"
"253",13,"2016-10-11","32.1"
"254",14,"2016-10-11","32.1"
"255",15,"2016-10-11","30.4"
"256",16,"2016-10-11","29.2"
"257",17,"2016-10-11","27.0"
"258",18,"2016-10-11","25.6"
"259",19,"2016-10-11","24.6"
"260",20,"2016-10-11","24.3"
"261",21,"2016-10-11","24.1"
"262",22,"2016-10-11","24.0"
"263",23,"2016-10-11","24.0"
"264",24,"2016-10-11","24.0"
"265",1,"2016-10-12","24.4"
"266",2,"2016-10-12","24.5"
"267",3,"2016-10-12","24.3"
"268",4,"2016-10-12","24.0"
"269",5,"2016-10-12","23.9"
"270",6,"2016-10-12","23.8"
"271",7,"2016-10-12","24.4"
"272",8,"2016-10-12","25.5"
"273",9,"2016-10-12","27.3"
"274",10,"2016-10-12","29.0"
"275",11,"2016-10-12","30.8"
"276",12,"2016-10-12","31.4"
"277",13,"2016-10-12","30.9"
"278",14,"2016-10-12","30.9"
"279",15,"2016-10-12","31.2"
"280",16,"2016-10-12","29.6"
"281",17,"2016-10-12","29.2"
"282",18,"2016-10-12","27.4"
"283",19,"2016-10-12","26.3"
"284",20,"2016-10-12","25.4"
"285",21,"2016-10-12","24.6"
"286",22,"2016-10-12","24.2"
"287",23,"2016-10-12","23.7"
"288",24,"2016-10-12","23.2"
"289",1,"2016-10-13","22.7"
"290",2,"2016-10-13","22.6"
"291",3,"2016-10-13","22.7"
"292",4,"2016-10-13","22.9"
"293",5,"2016-10-13","22.8"
"294",6,"2016-10-13","22.9"
"295",7,"2016-10-13","23.3"
"296",8,"2016-10-13","24.1"
"297",9,"2016-10-13","26.4"
